Exercício: 2022;;;;;;;
Escopo: Municípios do Estado - RJ;;;;;;;
Tabela: Despesas por Função (Anexo I-E);;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Italva - RJ;3302056;RJ;15387;Despesas Empenhadas;Despesas Exceto Intraorçamentárias;siconfi-cor_TotalDespesas;103951179
Prefeitura Municipal de Italva - RJ;3302056;RJ;15387;Despesas Empenhadas;01 - Legislativa;siconfi-cor_TotalDespesas;3076896,89
Prefeitura Municipal de Italva - RJ;3302056;RJ;15387;Despesas Empenhadas;01.031 - Ação Legislativa;siconfi-cor_TotalDespesas;3076896,89
Prefeitura Municipal de Italva - RJ;3302056;RJ;15387;Despesas Empenhadas;03 - Essencial à Justiça;siconfi-cor_TotalDespesas;1096073,31
Prefeitura Municipal de Italva - RJ;3302056;RJ;15387;Despesas Empenhadas;03.092 - Representação Judicial e Extrajudicial;siconfi-cor_TotalDespesas;1096073,31
Prefeitura Municipal de Italva - RJ;3302056;RJ;15387;Despesas Empenhadas;04 - Administração;siconfi-cor_TotalDespesas;7452469,19
Prefeitura Municipal de Italva - RJ;3302056;RJ;15387;Despesas Empenhadas;04.121 - Planejamento e Orçamento;siconfi-cor_TotalDespesas;3048447,28
Prefeitura Municipal de Italva - RJ;3302056;RJ;15387;Despesas Empenhadas;04.122 - Administração Geral;siconfi-cor_TotalDespesas;2656337,42
Prefeitura Municipal de Italva - RJ;3302056;RJ;15387;Despesas Empenhadas;04.123 - Administração Financeira;siconfi-cor_TotalDespesas;1493669,75
Prefeitura Municipal de Italva - RJ;3302056;RJ;15387;Despesas Empenhadas;04.124 - Controle Interno;siconfi-cor_TotalDespesas;131021,79
Prefeitura Municipal de Italva - RJ;3302056;RJ;15387;Despesas Empenhadas;04.129 - Administração de Receitas;siconfi-cor_TotalDespesas;122992,95
Prefeitura Municipal de Italva - RJ;3302056;RJ;15387;Despesas Empenhadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2262076,62
Prefeitura Municipal de Italva - RJ;3302056;RJ;15387;Despesas Empenhadas;06.182 - Defesa Civil;siconfi-cor_TotalDespesas;2262076,62
Prefeitura Municipal de Italva - RJ;3302056;RJ;15387;Despesas Empenhadas;08 - Assistência Social;siconfi-cor_TotalDespesas;4652461,22
Prefeitura Municipal de Italva - RJ;3302056;RJ;15387;Despesas Empenhadas;08.242 - Assistência ao Portador de Deficiência;siconfi-cor_TotalDespesas;3246,88
Prefeitura Municipal de Italva - RJ;3302056;RJ;15387;Despesas Empenhadas;08.243 - Assistência à Criança e ao Adolescente;siconfi-cor_TotalDespesas;550791,48
Prefeitura Municipal de Italva - RJ;3302056;RJ;15387;Despesas Empenhadas;08.244 - Assistência Comunitária;siconfi-cor_TotalDespesas;4098422,86
Prefeitura Municipal de Italva - RJ;3302056;RJ;15387;Despesas Empenhadas;09 - Previdência Social;siconfi-cor_TotalDespesas;8942658,07
Prefeitura Municipal de Italva - RJ;3302056;RJ;15387;Despesas Empenhadas;09.272 - Previdência do Regime Estatutário;siconfi-cor_TotalDespesas;8942658,07
Prefeitura Municipal de Italva - RJ;3302056;RJ;15387;Despesas Empenhadas;10 - Saúde;siconfi-cor_TotalDespesas;35156632,63
Prefeitura Municipal de Italva - RJ;3302056;RJ;15387;Despesas Empenhadas;10.301 - Atenção Básica;siconfi-cor_TotalDespesas;27178588,18
Prefeitura Municipal de Italva - RJ;3302056;RJ;15387;Despesas Empenhadas;10.302 - Assistência Hospitalar e Ambulatorial;siconfi-cor_TotalDespesas;7069994,84
Prefeitura Municipal de Italva - RJ;3302056;RJ;15387;Despesas Empenhadas;10.305 - Vigilância Epidemiológica;siconfi-cor_TotalDespesas;441335,9
Prefeitura Municipal de Italva - RJ;3302056;RJ;15387;Despesas Empenhadas;10.122 - Administração Geral;siconfi-cor_TotalDespesas;225600
Prefeitura Municipal de Italva - RJ;3302056;RJ;15387;Despesas Empenhadas;FU10 - Demais Subfunções;siconfi-cor_TotalDespesas;241113,71
Prefeitura Municipal de Italva - RJ;3302056;RJ;15387;Despesas Empenhadas;12 - Educação;siconfi-cor_TotalDespesas;16851472,9
Prefeitura Municipal de Italva - RJ;3302056;RJ;15387;Despesas Empenhadas;12.361 - Ensino Fundamental;siconfi-cor_TotalDespesas;15870018,03
Prefeitura Municipal de Italva - RJ;3302056;RJ;15387;Despesas Empenhadas;12.365 - Educação Infantil;siconfi-cor_TotalDespesas;194049,86
Prefeitura Municipal de Italva - RJ;3302056;RJ;15387;Despesas Empenhadas;FU12 - Demais Subfunções;siconfi-cor_TotalDespesas;787405,01
