Exercício: 2017;;;;;;;
Escopo: Municípios do Estado - RJ;;;;;;;
Tabela: Receitas Orçamentárias (Anexo I-C);;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;Total Receitas;siconfi-cor_TotalReceitas;197629237,3
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.0.0.0.00.00.00 - Receitas Correntes;siconfi-cor_RO1.0.0.0.00.00.00;191205112,2
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.1.0.0.00.00.00 - Receita Tributária;siconfi-cor_RO1.1.0.0.00.00.00;28292834,35
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.1.1.0.00.00.00 - Impostos;siconfi-cor_RO1.1.1.0.00.00.00;27167226,49
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.1.1.2.00.00.00 - Impostos sobre o Patrimônio e a Renda;siconfi-cor_RO1.1.1.2.00.00.00;11293860,77
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.1.1.2.02.00.00 - Imposto sobre a Propriedade Predial e Territorial Urbana ¿ IPTU;siconfi-cor_RO1.1.1.2.02.00.00;6066570,44
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.1.1.2.04.00.00 - Imposto sobre a Renda e Proventos de Qualquer Natureza ¿ IR;siconfi-cor_RO1.1.1.2.04.00.00;4123100,25
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.1.1.2.04.31.00 - Retido nas Fontes - Trabalho;siconfi-cor_RO1.1.1.2.04.31.00;4109520,75
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.1.1.2.04.34.00 - Retido nas Fontes - Outros Rendimentos;siconfi-cor_RO1.1.1.2.04.34.00;13579,5
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;"1.1.1.2.08.00.00 - Imposto sobre Transmissão Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis ¿ ITBI""";siconfi-cor_RO1.1.1.2.08.00.00;1104190,08
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.1.1.3.00.00.00 - Impostos sobre a Produção e a Circulação;siconfi-cor_RO1.1.1.3.00.00.00;15873365,72
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.1.1.3.05.00.00 - Imposto sobre Serviços de Qualquer Natureza ¿ ISSQN;siconfi-cor_RO1.1.1.3.05.00.00;15873365,72
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.1.2.0.00.00.00 - Taxas;siconfi-cor_RO1.1.2.0.00.00.00;1125607,86
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.1.2.1.00.00.00 - Taxas pelo Exercício do Poder de Polícia;siconfi-cor_RO1.1.2.1.00.00.00;187796,21
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.1.2.2.00.00.00 - Taxas pela Prestação de Serviços;siconfi-cor_RO1.1.2.2.00.00.00;937811,65
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.1.2.2.90.00.00 - Taxa de Limpeza Pública;siconfi-cor_RO1.1.2.2.90.00.00;850330,28
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.1.2.2.99.00.00 - Outras Taxas pela Prestação de Serviços;siconfi-cor_RO1.1.2.2.99.00.00;87481,37
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.2.0.0.00.00.00 - Receitas de Contribuições;siconfi-cor_RO1.2.0.0.00.00.00;6245908,47
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.2.1.0.00.00.00 - Contribuições Sociais;siconfi-cor_RO1.2.1.0.00.00.00;4491476,86
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.2.1.0.29.00.00 - Contribuições para o Regime Próprio de Previdência do Servidor Público;siconfi-cor_RO1.2.1.0.29.00.00;4491476,86
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.2.1.0.29.07.00 - Contribuição do Servidor Ativo Civil para o Regime Próprio;siconfi-cor_RO1.2.1.0.29.07.00;4463608,61
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.2.1.0.29.09.00 - Contribuições do Servidor Inativo Civil para o Regime Próprio;siconfi-cor_RO1.2.1.0.29.09.00;27868,25
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.2.3.0.00.00.00 - Contribuição para Custeio do Serviço de Iluminação Pública;siconfi-cor_RO1.2.3.0.00.00.00;1754431,61
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.3.0.0.00.00.00 - Receita Patrimonial;siconfi-cor_RO1.3.0.0.00.00.00;13509196,15
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.3.2.0.00.00.00 - Receitas de Valores Mobiliários;siconfi-cor_RO1.3.2.0.00.00.00;13509196,15
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.3.2.5.00.00.00 - Remuneração de Depósitos Bancários;siconfi-cor_RO1.3.2.5.00.00.00;1091662,92
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.3.2.8.00.00.00 - Remuneração dos Investimentos do Regime Próprio de Previdência do Servidor;siconfi-cor_RO1.3.2.8.00.00.00;12417533,23
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.7.0.0.00.00.00 - Transferências Correntes;siconfi-cor_RO1.7.0.0.00.00.00;140834645,4
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.7.2.0.00.00.00 - Transferências Intergovernamentais;siconfi-cor_RO1.7.2.0.00.00.00;140620287,8
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.7.2.1.00.00.00 - Transferências da União;siconfi-cor_RO1.7.2.1.00.00.00;37928419,03
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.7.2.1.01.00.00 - Participação na Receita da União;siconfi-cor_RO1.7.2.1.01.00.00;16286468,63
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.7.2.1.01.02.00 - Cota-Parte do Fundo de Participação dos Municípios ¿ FPM;siconfi-cor_RO1.7.2.1.01.02.00;16263612,46
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.7.2.1.01.05.00 - Cota-Parte do Imposto Sobre a Propriedade Territorial Rural ¿ ITR;siconfi-cor_RO1.7.2.1.01.05.00;22856,17
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.7.2.1.22.00.00 - Transferências da Compensação Financeira pela Exploração de Recursos Naturais;siconfi-cor_RO1.7.2.1.22.00.00;7491126,53
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.7.2.1.22.11.00 - Cota-Parte da Compensação Financeira de Recursos Hídricos;siconfi-cor_RO1.7.2.1.22.11.00;247902,63
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.7.2.1.22.30.00 - Cota-Parte Royalties ¿ Compensação Financeira pela Produção de Petróleo ¿ Lei nº 7.990/89;siconfi-cor_RO1.7.2.1.22.30.00;6892517,04
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.7.2.1.22.70.00 - Cota-Parte do Fundo Especial do Petróleo ¿ FEP;siconfi-cor_RO1.7.2.1.22.70.00;159585,38
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.7.2.1.22.90.00 - Outras Transferências Decorrentes de Compensação Financeira pela Exploração de Recursos Naturais;siconfi-cor_RO1.7.2.1.22.90.00;191121,48
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.7.2.1.33.00.00 - Transferências de Recursos do Sistema Único de Saúde - SUS - Repasses Fundo a Fundo;siconfi-cor_RO1.7.2.1.33.00.00;10014075,79
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.7.2.1.34.00.00 - Transferências de Recursos do Fundo Nacional de Assistência Social ¿ FNAS;siconfi-cor_RO1.7.2.1.34.00.00;490128,86
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.7.2.1.35.00.00 - Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação ¿ FNDE;siconfi-cor_RO1.7.2.1.35.00.00;3374232,56
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.7.2.1.36.00.00 - Transferências Financeiras do ICMS ¿ Desoneração ¿ L.C. Nº 87/96;siconfi-cor_RO1.7.2.1.36.00.00;272386,66
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.7.2.2.00.00.00 - Transferências dos Estados;siconfi-cor_RO1.7.2.2.00.00.00;85206635,11
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.7.2.2.01.00.00 - Participação na Receita dos Estados;siconfi-cor_RO1.7.2.2.01.00.00;81593085,95
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.7.2.2.01.01.00 - Cota-Parte do ICMS;siconfi-cor_RO1.7.2.2.01.01.00;77256616,33
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.7.2.2.01.02.00 - Cota-Parte do IPVA;siconfi-cor_RO1.7.2.2.01.02.00;2587790,26
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.7.2.2.01.04.00 - Cota-Parte do IPI - Municípios;siconfi-cor_RO1.7.2.2.01.04.00;1664376,17
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.7.2.2.01.13.00 - Cota-Parte da Contribuição de Intervenção no Domínio Econômico;siconfi-cor_RO1.7.2.2.01.13.00;84303,19
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.7.2.2.22.00.00 - Transferências da Cota-Parte da Compensação Financeira (25%);siconfi-cor_RO1.7.2.2.22.00.00;3613549,16
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.7.2.2.22.30.00 - Cota-Parte Royalties - Compensação Financeira pela Produção de Petróleo - Lei nº 7.990/89 artigo 9º;siconfi-cor_RO1.7.2.2.22.30.00;3613549,16
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.7.2.4.00.00.00 - Transferências Multigovernamentais;siconfi-cor_RO1.7.2.4.00.00.00;17485233,62
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.7.2.4.01.00.00 - Transferências de Recursos do Fundo de Manutenção e Desenvolvimento do Ensino Fundamental e de Valorização do Magistério - FUNDEB;siconfi-cor_RO1.7.2.4.01.00.00;17485233,62
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.7.3.0.00.00.00 - Transferências de Instituições Privadas;siconfi-cor_RO1.7.3.0.00.00.00;132508,02
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.7.6.0.00.00.00 - Transferências de Convênios;siconfi-cor_RO1.7.6.0.00.00.00;81849,62
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.7.6.1.00.00.00 - Transferências de Convênios da União e de Suas Entidades;siconfi-cor_RO1.7.6.1.00.00.00;10,34
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.7.6.1.03.00.00 - Transferências de Convênios da União Destinadas a Programas de Assistência Social;siconfi-cor_RO1.7.6.1.03.00.00;10,34
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.7.6.2.00.00.00 - Transferências de Convênios dos Estados e do Distrito Federal e de Suas Entidades;siconfi-cor_RO1.7.6.2.00.00.00;81839,28
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.7.6.2.02.00.00 - Transferências de Convênios dos Estados Destinadas a Programas de Educação;siconfi-cor_RO1.7.6.2.02.00.00;81839,28
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.9.0.0.00.00.00 - Outras Receitas Correntes;siconfi-cor_RO1.9.0.0.00.00.00;2322527,85
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.9.1.0.00.00.00 - Multas e Juros de Mora;siconfi-cor_RO1.9.1.0.00.00.00;831413,53
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.9.1.1.00.00.00 - Multas e Juros de Mora dos Tributos;siconfi-cor_RO1.9.1.1.00.00.00;15957,68
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.9.1.1.38.00.00 - Multas e Juros de Mora do Imposto sobre a Propriedade Predial e Territorial Urbana ¿ IPTU;siconfi-cor_RO1.9.1.1.38.00.00;15957,68
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.9.1.2.00.00.00 - Multas e Juros de Mora das Contribuições;siconfi-cor_RO1.9.1.2.00.00.00;104071,63
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.9.1.2.29.00.00 - Multas e Juros de Mora das Contribuições para o Regime Próprio de Previdência do Servidor;siconfi-cor_RO1.9.1.2.29.00.00;104071,63
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.9.1.3.00.00.00 - Multas e Juros de Mora da Dívida Ativa dos Tributos;siconfi-cor_RO1.9.1.3.00.00.00;364367,52
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.9.1.3.11.00.00 - Multas e Juros de Mora da Dívida Ativa do Imposto sobre a Propriedade Predial e Territorial Urbana ¿ IPTU;siconfi-cor_RO1.9.1.3.11.00.00;340081,6
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.9.1.3.12.00.00 - Multas e Juros de Mora da Dívida Ativa do Imposto sobre a Transmissão Inter Vivos de Bens Imóveis - ITBI;siconfi-cor_RO1.9.1.3.12.00.00;444,79
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.9.1.3.13.00.00 - Multas e Juros de Mora da Dívida Ativa do Imposto sobre Serviços de Qualquer Natureza ¿ ISS;siconfi-cor_RO1.9.1.3.13.00.00;23841,13
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.9.1.5.00.00.00 - Multas e Juros de Mora da Dívida Ativa de Outras Receitas;siconfi-cor_RO1.9.1.5.00.00.00;64027,52
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.9.1.5.99.00.00 - Outras Multas e Juros de Mora da Dívida Ativa de Outras Receitas;siconfi-cor_RO1.9.1.5.99.00.00;64027,52
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.9.1.9.00.00.00 - Multas de Outras Origens;siconfi-cor_RO1.9.1.9.00.00.00;282989,18
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.9.2.0.00.00.00 - Indenizações e Restituições;siconfi-cor_RO1.9.2.0.00.00.00;33131,42
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.9.2.2.00.00.00 - Restituições;siconfi-cor_RO1.9.2.2.00.00.00;33131,42
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.9.2.2.99.00.00 - Outras Restituições;siconfi-cor_RO1.9.2.2.99.00.00;33131,42
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.9.3.0.00.00.00 - Receita da Dívida Ativa;siconfi-cor_RO1.9.3.0.00.00.00;1334219,65
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.9.3.1.00.00.00 - Receita da Dívida Ativa Tributária;siconfi-cor_RO1.9.3.1.00.00.00;1334219,65
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.9.3.1.11.00.00 - Receita da Dívida Ativa do Imposto sobre a Propriedade Predial e Territorial Urbana ¿ IPTU;siconfi-cor_RO1.9.3.1.11.00.00;922426,87
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.9.3.1.12.00.00 - Receita da Dívida Ativa do Imposto sobre a Transmissão Inter Vivos de Bens Imóveis - ITBI;siconfi-cor_RO1.9.3.1.12.00.00;8315,87
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.9.3.1.13.00.00 - Receita da Dívida Ativa do Imposto sobre Serviços de Qualquer Natureza ¿ ISS;siconfi-cor_RO1.9.3.1.13.00.00;94068,49
Prefeitura Municipal de Itatiaia - RJ;3302254;RJ;30475;Receitas Brutas Realizadas;1.9.3.1.99.00.00 - Receita da Dívida Ativa de Outros Tributos;siconfi-cor_RO1.9.3.1.99.00.00;309408,42
